#OTU ID	W1_CLT_1	W1_CLT_2	W1_CLT_3	W1_CLT_4	W1_CLT_5	W1_DSS_1	W1_DSS_2	W1_DSS_3	W1_DSS_4	W1_DSS_5	W1_LbGP_1	W1_LbGP_2	W1_LbGP_3	W1_LbGP_4	W1_LbGP_5	W2_CLT_1	W2_CLT_2	W2_CLT_3	W2_CLT_4	W2_CLT_5	W2_DSS_1	W2_DSS_2	W2_DSS_3	W2_DSS_4	W2_DSS_5	W2_LbGP_1	W2_LbGP_2	W2_LbGP_3	W2_LbGP_4	W2_LbGP_5	W3_CLT_1	W3_CLT_2	W3_CLT_3	W3_CLT_4	W3_CLT_5	W3_DSS_1	W3_DSS_2	W3_DSS_3	W3_DSS_4	W3_DSS_5	W3_LbGP_1	W3_LbGP_2	W3_LbGP_3	W3_LbGP_4	W3_LbGP_5
ASV_12054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12184	4	5	0	1	0	4	0	0	0	0	18	16	5	2	1	4	0	2	0	3	0	0	0	0	6	10	35	10	4	3	2	1	2	1	10	1	23	13	1	0	18	19	9	15	15
ASV_1795	9	122	219	9	130	2	1	36	2	5	1	10	3	3	1	35	134	14	45	9	12	6	7	6	10	86	171	26	108	29	32	8	96	26	119	16	456	276	183	8	235	138	880	208	795
ASV_461	4	23	10	18	15	6	9	3	11	10	15	14	8	9	4	176	6	104	532	80	9	12	10	13	595	41	326	2210	254	1747	15	6	134	26	2252	34	18	29	1937	26	15	15	12	18	12
ASV_3507	2	1	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	2
ASV_6213	2	0	9	2	0	0	49	11	57	0	0	0	1	3	0	0	3	2	2	0	40	15	89	56	0	0	0	0	0	0	0	1	1	2	1	12	1	0	2	84	1	2	2	0	1
ASV_11523	2	1	0	14	0	3	0	1	0	5	16	2	2	2	2	11	0	9	0	28	0	0	0	0	0	4	8	18	0	7	0	0	22	0	3	0	0	0	0	0	1	2	4	8	1
ASV_416	1	5	1	1	2	0	0	0	0	0	0	1	0	1	1	1	7	1	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	5	2	0	3	4	11	3	7
ASV_1610	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	2	0	2	0	0	0	0	1	0	1	1	0	0	0	0	9	2	0	1	1
ASV_716	1	1	5	7	3	1	0	0	0	0	0	0	0	1	0	5	2	3	0	1	0	0	0	0	0	0	7	0	6	0	3	0	6	5	10	2	2	0	1	2	7	17	11	15	6
ASV_6696	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1033	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	0	0	0	0	0	1	1	1	0	0
ASV_1935	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	6	0	0	1	10	8	6	7	3
ASV_7331	3	1	1	1	0	183	1	0	1	0	0	1	1	0	1	1	1	1	2	0	0	0	1	1	24	1	10	36	5	24	0	0	0	0	0	2	0	0	2	0	1	2	0	1	5
