function	W1_CLT_1_tags	W1_CLT_2_tags	W1_CLT_3_tags	W1_CLT_4_tags	W1_CLT_5_tags	W1_DSS_1_tags	W1_DSS_2_tags	W1_DSS_3_tags	W1_DSS_4_tags	W1_DSS_5_tags	W1_LbGP_1_tags	W1_LbGP_2_tags	W1_LbGP_3_tags	W1_LbGP_4_tags	W1_LbGP_5_tags	W2_CLT_1_tags	W2_CLT_2_tags	W2_CLT_3_tags	W2_CLT_4_tags	W2_CLT_5_tags	W2_DSS_1_tags	W2_DSS_2_tags	W2_DSS_3_tags	W2_DSS_4_tags	W2_DSS_5_tags	W2_LbGP_1_tags	W2_LbGP_2_tags	W2_LbGP_3_tags	W2_LbGP_4_tags	W2_LbGP_5_tags	W3_CLT_1_tags	W3_CLT_2_tags	W3_CLT_3_tags	W3_CLT_4_tags	W3_CLT_5_tags	W3_DSS_1_tags	W3_DSS_2_tags	W3_DSS_3_tags	W3_DSS_4_tags	W3_DSS_5_tags	W3_LbGP_1_tags	W3_LbGP_2_tags	W3_LbGP_3_tags	W3_LbGP_4_tags	W3_LbGP_5_tags
RXN-12303	308.0	251.34	192.66	293.34	185.34	13490.0	17210.0	783.34	18068.0	147.34	2920.66	4883.34	6564.66	6408.0	7730.66	132.0	208.0	5518.66	138.66	3466.0	291.34	1640.66	950.0	2634.66	343.34	1276.0	534.0	342.66	280.66	390.0	15.34	20.0	23.34	24.0	21.34	216.0	58.0	33.34	20.66	96.66	28.66	19.34	18.66	16.0	14.0
RXN-12344	22.5	26.75	31.0	38.0	26.0	444.0	173.5	2727.25	483.25	290.25	543.5	2113.75	6363.0	2294.5	4639.25	30.5	28.75	50.75	23.75	35.25	4709.25	3782.75	4592.25	3581.5	1404.25	144.0	167.0	1668.5	115.25	1240.75	26.5	35.5	63.5	44.5	65.5	60.0	58.0	40.5	82.5	72.25	98.0	61.5	56.25	67.0	105.75
RXN-12353	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
RXN-12366	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
RXN-12367	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
RXN-12391	7154.67	1633.09	5987.41	18618.75	1156.0	10735.42	19121.0	16074.5	21997.25	5460.25	9564.58	10900.42	18908.33	15681.25	20241.41	18402.17	1657.17	24239.75	18849.83	26843.58	18374.84	18485.58	22643.5	19486.91	8801.09	8390.58	11212.92	6650.91	7493.58	5385.25	4440.5	10326.58	12935.84	2033.83	6810.5	10657.25	2920.42	3614.5	6080.25	18149.75	5495.25	6201.75	12261.0	8753.0	11596.17
RXN-12392	15811.67	23974.76	11472.74	21288.42	2948.67	22068.42	38827.0	20502.17	44020.25	7013.92	21096.91	15261.09	30613.66	28363.25	34896.74	25205.17	15128.17	28040.08	30993.16	30251.58	25918.51	28502.91	31692.5	31219.24	12602.76	15129.58	15785.92	15501.24	9112.91	13955.25	8100.17	19389.58	14418.51	10827.83	7684.17	23643.25	4323.42	9445.17	6909.58	36180.08	7873.58	6941.42	14921.33	11940.0	18064.17
RXN-12398	50678.69	49867.53	27611.72	57689.4	7585.65	36367.94	72182.5	109979.15	88620.75	24167.4	56705.66	41421.84	115206.16	79521.0	113954.97	59105.69	31743.19	42137.35	56163.41	44321.56	126964.03	125944.66	153337.0	124189.47	42866.78	25121.06	34178.69	45284.22	20737.91	37371.25	16344.65	31761.56	32896.28	25756.56	19520.15	58009.5	10056.69	16893.65	12821.85	90758.6	18778.6	23339.4	37198.35	44734.5	42379.44
RXN-12399	50678.69	49867.53	27611.72	57689.4	7585.65	36367.94	72182.5	109979.15	88620.75	24167.4	56705.66	41421.84	115206.16	79521.0	113954.97	59105.69	31743.19	42137.35	56163.41	44321.56	126964.03	125944.66	153337.0	124189.47	42866.78	25121.06	34178.69	45284.22	20737.91	37371.25	16344.65	31761.56	32896.28	25756.56	19520.15	58009.5	10056.69	16893.65	12821.85	90758.6	18778.6	23339.4	37198.35	44734.5	42379.44
RXN-12400	50678.69	49867.53	27611.72	57689.4	7585.65	36367.94	72182.5	109979.15	88620.75	24167.4	56705.66	41421.84	115206.16	79521.0	113954.97	59105.69	31743.19	42137.35	56163.41	44321.56	126964.03	125944.66	153337.0	124189.47	42866.78	25121.06	34178.69	45284.22	20737.91	37371.25	16344.65	31761.56	32896.28	25756.56	19520.15	58009.5	10056.69	16893.65	12821.85	90758.6	18778.6	23339.4	37198.35	44734.5	42379.44
