CLT	DSS	LbGP	MeanDecreaseAccuracy	MeanDecreaseGini
OTU000268	0.00225119047619048	0.00221666666666667	-0.000833333333333333	0.00125866910866911	0.0790609126366687
OTU000049	0.00155	0.00117380952380952	0.000666666666666667	0.00115021645021645	0.0533745228827314
OTU000214	-7.14285714285717e-06	0.00153333333333333	0.0019	0.00114060547295841	0.0823646663587531
OTU000092	0.0012047619047619	0.0018984126984127	-0.000616666666666667	0.00106309523809524	0.0761119062777159
OTU000175	0.00101785714285714	-0.000109523809523809	0.00259285714285714	0.00103339062897886	0.0833716616598483
OTU000007	0.00136666666666667	0.000995238095238095	0.00025	0.00102394688644689	0.0365505772005772
OTU000082	0.000933333333333333	0.00154285714285714	0.000133333333333333	0.00102010073260073	0.110672804955098
OTU000046	0.00238333333333333	0.00095	9.28571428571429e-05	0.00100342059900883	0.053365990973676
OTU000360	0.000452380952380952	0.00233333333333333	5e-04	0.000975039666216137	0.0504986921942511
OTU000346	0.00025	0.00167619047619048	7e-04	0.000949217449217449	0.0365794266191325
OTU000269	0	0.00243333333333333	0.000625	0.000907081807081807	0.0450036124220607
OTU000648	0.000816666666666667	0.000833333333333333	0.00125	0.000897063312504489	0.0577819195694973
OTU000581	0.00136190476190476	0	0.00186666666666667	0.000888522588522589	0.0505726129426129
OTU000085	0.00045	0.000908333333333333	0.00195	0.000879004329004329	0.0559639452165768
OTU000209	0.00265	0.00095	-0.00126666666666667	0.000871628371628372	0.0565642240084439
OTU000296	-0.00023015873015873	0.00171190476190476	0.00166666666666667	0.000864831002331002	0.0509924525248379
OTU000159	0	0.000908333333333333	0.00143333333333333	0.000861236802413273	0.0308864992637371
OTU000331	0.0022	0	-1e-04	0.000854426129426129	0.0828452451745021
OTU000204	0.000241666666666667	0.0016952380952381	7e-04	0.000848866819455055	0.0550096161716697
OTU000108	0.00030952380952381	0.00161904761904762	0.000533333333333333	0.000838480392156863	0.0564104154382346
OTU000150	0.000742857142857143	0.00143333333333333	0.000333333333333333	0.000838095238095238	0.0370271699942719
OTU000322	0.000696428571428571	0.00191666666666667	-0.000166666666666667	0.000816239316239316	0.0265333333333333
OTU000048	0.00232777777777778	0.000787301587301587	-0.000433333333333333	0.000813570639886429	0.0853543706809444
OTU000416	0.000878571428571429	0.00025	0.0015	0.000806818181818182	0.0279762128675922
OTU000037	0.00174285714285714	0.00124761904761905	0.00099047619047619	0.00080273199023199	0.0857865155448877
OTU000157	-0.000142857142857143	0.00142857142857143	0.00108333333333333	0.000793589743589744	0.0362088610240334
OTU000519	2e-04	0.00095	0.00128333333333333	0.000782417582417582	0.0350657901404469
OTU000350	-7.5e-05	0.00275238095238095	-5e-04	0.000778517316017316	0.0295254404092639
OTU000241	0	0.000928571428571429	0.000866666666666667	0.000766666666666667	0.044595153271072
OTU000219	0.000733333333333333	0.00133333333333333	0	0.000765700965700966	0.0238518398268398
OTU000072	0.00109722222222222	0.000978571428571429	0	0.000763888888888889	0.0635997804047804
OTU000225	0.00140833333333333	0	5e-04	0.000735536522301228	0.0572208455119526
OTU000050	0.000842857142857143	0.000142857142857143	0.00195	0.00071978021978022	0.0723546525530675
OTU000401	0	0.000666666666666667	0.00126190476190476	0.000713644688644689	0.0363117302052786
OTU000552	-2e-04	0.00120833333333333	0.00148333333333333	0.000705128205128205	0.0377396534171073
OTU000362	0.000527777777777778	0.000357936507936508	0.00185	0.000680494505494506	0.0756393340651417
OTU000326	0.000333333333333333	0.001825	-0.000773809523809524	0.000660275263951734	0.057753964594182
OTU000114	0.00114285714285714	0.000533333333333333	-0.000266666666666667	0.000651314371902607	0.0486408681377102
OTU000307	0.000125	0.000333333333333333	0.00168333333333333	0.000643290043290043	0.0261933621933622
OTU000120	0.000461904761904762	0.00127777777777778	0.000535714285714286	0.000642800865285385	0.0694236121409139
OTU000192	0.000525	0.000782142857142857	0.000366666666666667	0.000613074425574426	0.0759619110156549
OTU000010	-0.00080952380952381	0.000930555555555555	0.00231666666666667	0.000597464626876391	0.0804647961953677
OTU000318	0.000592857142857143	-0.000125	0.00175	0.000592006033182504	0.0705554388036584
OTU000205	0.00125952380952381	0.00025	5e-04	0.000583365653953889	0.0308176035952352
OTU000308	0.00150238095238095	0.000183333333333333	-0.000166666666666667	0.000579091251885369	0.0427893405142952
OTU000005	0.000800396825396825	0.0011	0.000216666666666667	0.000575134952766532	0.0781744678128889
OTU000548	0.000333333333333333	0.00126666666666667	0	0.000562179487179487	0.0307616926932716
OTU000292	0.000583333333333333	0.000666666666666667	0.00025	0.000547794117647059	0.0213790229885058
OTU000075	0.00108928571428571	0	0.000966666666666667	0.000546917543241073	0.044482016315298
OTU000313	0.000333333333333333	0.00108333333333333	0.000416666666666667	0.000542735042735043	0.0259316473000683
OTU000095	0	0.000866666666666667	0.001	0.00053228021978022	0.0417177497665733
OTU000610	0.00055	5e-04	-0.000214285714285714	0.00052943722943723	0.0394224588194078
OTU000053	0.00039047619047619	0.000255555555555556	0.000966666666666667	0.00052937675070028	0.0445473465682391
OTU000093	0.000222222222222222	0.00108333333333333	0.00025	0.000511484593837535	0.0415005887878259
OTU000257	0.000166666666666667	4e-04	0.00108333333333333	0.000508855850032321	0.0284911000763942
OTU000309	0.000125	0.000347222222222222	0.00141666666666667	0.000504166666666667	0.0582707038831513
OTU000295	0.000833333333333333	0.000166666666666667	0.0015	0.000501575630252101	0.023245072826995
OTU000178	0.000625	0.000642857142857143	2e-04	0.000492857142857143	0.0181752407980736
OTU000404	0	0.000602380952380952	0.000916666666666667	0.000473892773892774	0.0268485955615266
OTU000127	-5e-04	0.00185	-8.33333333333333e-05	0.000472115384615385	0.0502696381803536
OTU000424	-4.16666666666667e-05	0.0012	0.001	0.000460568842921784	0.0302175276477908
OTU000147	0.000416666666666667	0.000458333333333333	0.000833333333333333	0.000459203296703297	0.0219970885323826
OTU000173	0	0.00101190476190476	0	0.000457575757575758	0.0254261704987105
OTU000372	0.000333333333333333	0.000702380952380952	5e-04	0.000455648926237162	0.0249063132945486
OTU000408	-2.38095238095238e-05	0.000166666666666667	0.0013	0.000455252100840336	0.0262174603174603
OTU000076	0.00055952380952381	0.000787301587301587	-0.000666666666666667	0.000453907203907204	0.0677943493846307
OTU000154	0.000142857142857143	-0.000142857142857143	0.00198333333333333	0.000437217194570136	0.0611770437393778
OTU000277	0.000166666666666667	0	0.00125	0.000437179487179487	0.0176611456176674
OTU000413	0	0.000926190476190476	2e-04	0.000436446886446886	0.0288849317349317
OTU000723	0.000833333333333333	0	0.000916666666666667	0.000420833333333333	0.0330612939810696
OTU000248	0	0.000583333333333333	0.00166666666666667	0.000419184981684982	0.0605913270939587
OTU000031	0.000291666666666667	0.000666666666666667	1e-04	0.000408012820512821	0.0572532981996217
OTU000938	0.000678571428571429	0.000142857142857143	0	0.000397435897435897	0.00973494623655914
OTU000153	0.000721428571428571	0	0.000366666666666667	0.000395434428832262	0.0531885516530253
OTU000107	0	0.000912698412698413	0	0.000390505675954592	0.0444731211996954
OTU000161	0.000583333333333333	2e-04	0.00025	0.00038859649122807	0.0129018648018648
OTU000414	-0.000476190476190476	0.00123333333333333	7e-04	0.000388333888333888	0.0434903124653125
OTU000394	0	0.000375	0.00113333333333333	0.000384973604826546	0.0291407435701553
OTU000407	0.000644444444444444	0.000553571428571429	-0.000366666666666667	0.000378289473684211	0.0398146056588434
OTU000207	0.000416666666666667	0.000333333333333333	0.00025	0.000373626373626374	0.0319989554305344
OTU000212	0.000566666666666667	0	0.000416666666666667	0.00037202380952381	0.0136667378917379
OTU000474	0.00055952380952381	0.000416666666666667	0	0.00037051282051282	0.0384345368784588
OTU000283	-2e-04	0.000583333333333333	0.002	0.000368589743589744	0.0312324322330813
OTU000449	0.00025	0.00116666666666667	-0.000616666666666667	0.000365905336493572	0.0434535555918683
OTU000340	0	0.000738095238095238	0	0.000357142857142857	0.0262266756870205
OTU000406	-0.000142857142857143	0.000535714285714286	0.000916666666666667	0.00034478021978022	0.0246508925662151
OTU000104	0.000339285714285714	0.000166666666666667	0.00115	0.000337240537240537	0.0464457981835098
OTU000321	0.00108333333333333	0	0.000116666666666667	0.000333333333333333	0.0515815950546365
OTU000673	0.00025	0	0.000735714285714286	0.00032790346907994	0.0151082600732601
OTU000502	0	0.000533333333333333	4e-04	0.0003125	0.0199768065998329
OTU000623	0	0.000625	2e-04	0.00030952380952381	0.0122333333333333
OTU000298	2e-04	0.000366666666666667	0.00095	0.000308928571428571	0.00856884057971014
OTU000078	0	3.33333333333334e-05	0.00125	0.000306959706959707	0.0365580345745336
OTU000156	0.00045	0.000866666666666667	-0.000125	0.000305263157894737	0.0386807992007992
OTU000018	2e-04	0	0.000833333333333333	0.000302197802197802	0.0326617475052608
OTU000197	-0.000523809523809524	0.000858333333333333	0.00025	0.000292857142857143	0.0285222070521572
OTU000570	0.000333333333333333	0	0.000666666666666667	0.000291208791208791	0.0202880672268908
OTU000635	0.000285714285714286	0.000166666666666667	0.00025	0.000285714285714286	0.0160138888888889
OTU000477	2e-04	0	0.00095	0.000284722222222222	0.0283355670146847
OTU000111	0.000533333333333333	0.000533333333333333	-0.000283333333333333	0.000280637254901961	0.0339950434443717
OTU000366	5e-04	-0.000125	0.00025	0.000276255117431588	0.0395359697062483
OTU000402	0.000285714285714286	0	0.000583333333333333	0.000273109243697479	0.00834389140271493
OTU000174	0.000582142857142857	0.00025	-0.00025	0.000267614738202973	0.0378272513279634
OTU000289	0.000267857142857143	4e-04	0	0.000266666666666667	0.0128556489262372
OTU000434	5e-05	5e-04	4e-04	0.000266666666666667	0.0186743654565679
OTU000516	0.000266666666666667	0.000333333333333333	0.00055	0.000264423076923077	0.0186149683649684
OTU000395	0.00025	0	0.001	0.000261236802413273	0.0315822438715022
OTU000380	0.000485714285714286	0	0.001	0.000258928571428571	0.0320142778673439
OTU000717	0	0.000595238095238095	0	0.000258823529411765	0.00550865800865801
OTU000164	0	0.000166666666666667	0.00108333333333333	0.000258823529411765	0.0224900373482726
OTU000047	4e-04	0	5e-04	0.000257575757575758	0.0153510797631487
OTU000071	-0.000676190476190476	0.000125	0.00135	0.000253758169934641	0.0423009387256527
OTU000323	0.00025	0	0.000583333333333333	0.000246813725490196	0.0214570972886762
OTU000707	0.000833333333333333	-2e-04	0.000533333333333333	0.00024453781512605	0.0188366898587392
OTU000061	0.000111111111111111	0.000285714285714286	0.00025	0.000241228070175439	0.0168764689501532
OTU000301	0.000467857142857143	0	0.001	0.000240277777777778	0.0129994152046784
OTU000495	-0.000125	0.001	0	0.000237879767291532	0.02461328320802
